Unnamed: 0,이름,세부장르,장소,일시,출연진,Staff,줄거리
22,레베카,라이선스,블루스퀘어 신한카드홀,2023.08.19 ~ 2023.11.19,"류정한, 민영기, 에녹, 테이, 신영숙, 옥주현, 리사, 장은아, 김보경, 이지혜, 이지수, 웬디, 윤석원, 임정모, 윤사봉, 김지선, 이은율, 홍기주, 제병진, 김순택",김문정,"불의의 사고로 아내 레베카를 잃고 힘든 나날을 보내고 있는 막심 드 윈터, 그는 몬테카를로 여행 중 우연히 ‘나’를 만나 사랑에 빠지게 된다. 행복한 결혼식을 올린 두 사람은 막심의 저택인 맨덜리에서 함께 생활하게 되는데... 맨덜리는 아름다웠지만 음산하고 기묘한 분위기를 풍기는 곳이기도 했다. 마치 죽은 레베카가 살아 숨 쉬고 있는 것처럼 맨덜리의 모든 것은 여전히 레베카에게 깊게 물들어 있고 집사 댄버스 부인은 시종일관 무표정을 유지하며 ‘나’에게 경계심을 드러낸다. 사랑하는 막심과의 행복한 삶을 꿈꾸던 ‘나’는 점점 위축되어 가고 오해가 쌓여 막심과의 관계도 위태로워진다. ‘나’가 자괴감에 빠져 괴로워할 때, 레베카의 보트와 시신이 우연히 발견되면서 상황은 새로운 국면을 맞이하게 되는데..."
23,레이져홀로그램쇼,어린이/가족,상상나라극장,2023.09.02 ~ 2023.10.03,,,
24,렛미플라이,창작,예스24스테이지 1관,2023.09.26 ~ 2023.12.10,"김태한, 김도빈, 이형훈, 방진의, 윤공주, 최수진, 안지환, 박보검, 신재범, 나하나, 홍지희, 임예진","홍윤경, 이영찬, 김효한","아폴로 11호가 달을 향해 쏘아 올려진 1969년의 밤.동네 최고의 수선장이 남원은 편지 한 통을 받으며 불가능할 것만 같았던 패션 디자이너라는 꿈에 한 발짝 다가선다.사랑하는 정분이와의 멋진 내일을 꿈꾸던 남원은 점점 커지는 달에 놀라 쓰러지고. 다시 눈을 뜬 곳은 2020년의 어느 날! 당황스럽고 어리둥절한 남원 앞에 ‘영감, 지금은 2020년이고, 우린 70이야!’ 말하는 선희 할머니가 나타난다. 2020년이 낯선 듯 익숙한 남원. 어떻게든 사랑하는 정분이가 있는 1969년으로 돌아가기 위한 미래 탐사를 시작한다."
25,마술그리스신화,어린이/가족,송파브이아트홀,2022.07.13 ~ 2023.10.29,,,"1장 _ 불의화신 ‘헤파이스토스’와 미의여신 ‘아프로디테’ 일밖에 모르는 대장장이 ‘헤파이스토스’ 그는 모든지 만들 수 있는 만능 재주꾼 이지만 그의 단점은 외모!!! 그는 부인‘아프로디테’를 끔찍이 사랑하지만, 정작 ‘아프로디테’는 그와 함께 하고 싶어하지 않는다. 그녀의 미모를 탐내는 위기에서 ‘헤파이스토스’는 그의 마법으로 어려움을 극복하게 되는데....2장 _ 호기심 많은 판도라와 그의 연인 ‘에피메테우스’ ‘제우스신’의 함정을 염려하는 예언의신 ‘프로메테우스’는 그의 동생 ‘에피메테우스’에게 ‘제우스신’의 선물을 받지 말라고 조언한다. 하지만 ‘판도라’의 눈부신 미모에 반한 ‘에피메테우스’는 형과의 약속을 잊고 그녀와 함께 한다. 그녀와 행복한 날을 보내는 ‘에피메테우스’는 ‘판도라’와 함께 절대 열어봐서는 안되는 판도라의 상자를 열게 되는데.... 3장 _ 질투의 여신 ‘헤라’와 힘의 상징 ‘헤라클라스’ ‘헤라클라스’를 미워하는 ‘헤라여신’은 그에게 12개의 어려운 과업을 전달하만 용감하기 씩씩한 헤라클라스는 어려운 과업을 모두 풀게된다. 그를 미워하는 ‘헤라여신’은 헤라클라스에게 13번째 과업을 전달하게 되는데... "
26,마술그리스신화,어린이/가족,대학로 열린극장,2023.07.25 ~ 2023.10.09,,,
27,마이 리틀 캣츠,어린이/가족,스타스테이지 (구 원패스아트홀),2023.06.17 ~ 2023.09.30,,,"마을에 작은 공원 놀이터에는 고양이들이 살고 있다. 어두운 밤 달빛이 비추기 시작하면 고양이들의 축제가 시작 된다. 노래하는 고양이 량이, 춤추는 고양이 별이. 바보 고양이 빠부. 할아보지 고양이 파파. 심술쟁이 고양이 밤바. 이들은 밤 마다 이곳에 모여 고양이들의 축제를 한다. 그러나 모두 즐겁게 보이지만 다들 각각의 아픔을 가진 고양이들이다. 그러던 어느날 달빛을 따라 걷는 떠돌이 고양이 달이가 찾아오고 고양이들의 아픔을 달래주며 이곳에 살게 되는데…"
28,멤피스,라이선스,충무아트센터 대극장,2023.07.20 ~ 2023.10.22,"박강현, 고은성, 이창섭, 정선아, 유리아, 손승연, 최민철, 심재현, 최정원, 류수화, 이종문, 유효진, 조성린, 이준용",김태형,"차별과 갈등이 만연하던 1950년대 미국 남부 테네시주 멤피스. ‘흑인 음악’으로 여겨진 로큰롤에 심취해 있던 백인 청년 휴이는 어느 날 흑인 구역인 빌스트리트에 있는 언더그라운드 클럽을 방문한다. 그곳에서 클럽 주인인 델레이의 여동생, 펠리샤의 노래를 듣고 그녀와 그들의 노래를 널리 알리겠다고 결심한다. 이후 휴이는 방송국 DJ로 지원하기 시작하지만 모두 거절당한다. 그러던 중 백인 전용 라디오 방송국인 WHDZ를 방문한 휴이는 DJ가 잠시 떠난 사이 부스에 잠입하여 로큰롤을 전파시킨다. 대형사고였지만 음악에 매료된 10대들의 전화가 방송국으로 빗발치고 WHDZ 사장 시몬스는 휴이에게 2주 간의 트라이아웃 기간을 주는데.. 라디오 DJ가 된 휴이! 더 큰 무대에서 노래하고 싶은 펠리샤! 둘의 사랑과 음악은 어떻게 될까?"
29,문스토리,창작,대학로 드림아트센터 4관,2023.09.26 ~ 2023.12.10,"정상윤, 성연, 김진욱, 김준호, 소정화, 박새힘, 주다온, 장보람, 강찬, 김리현, 김지웅, 전민지, 조영화, 표바하, 이채원","김수로, 김은영","서울의 도심. 유령과도 같은 몰골의 전직 만화가이자 택시 기사인, ‘이헌’, 택시를 몰고 도시를 질주한다. 그러던 중, 한 남자를 치게 되고, 겁에 질린 나머지 자신의 단칸방으로 데리고 온다. 죽은 줄로만 알았던 그 남자는 깨어나 자신의 이름을 ‘용’이라 소개하며, 자신은 달에서 왔다고 말한다. ‘이헌’은 그가 머리를 다쳤다고 생각하고 망연자실한다. 그 순간, ‘이헌’의 어릴 적 단짝 친구 ‘찬영’이 ‘린’이라는 이름의 여자(트랜스젠더)가 되어 나타나, 다짜고짜 ‘이헌’의 집에 함께 머물게 해달라고 떼를 쓴다. 그렇게 세 사람의 어색한 동거가 시작된다."
30,버디버디,뮤지컬,해당공연 공연장,2023.03.02 ~ 2023.12.31,"이승준, 주승훈, 엄희준, 권용덕",최희정,만년왕따 고동만은 행복 고등학교로 전학 간 첫날 우연히 댄스동아리 ‘버디’에 들어가게 되고 그곳에서 최강호와 나태희를 만난다. 춤에 재능이 있다는 말을 들은 고동만은 처음으로 뿌듯함과 기쁨을 느끼지만 일진 나태희의 괴롭힘 때문에 다시 자신감을 잃어가던 그떄 구미오를 만나게 된다. 자신의 눈에만 보이는 유령 친구 구미오의 위로와 응원 덕분에 조금씩 자존감을 찾아가는 고동만에게 축제의 엔딩 무대에 설 수 있는 기회가 생기고 고동만은 그 무대를 통해 학교의 인기스타로 거듭나게 되는데 갑자기 구미오가 보이지 않는다. 전세가 역전된 고동만과 나태희는 다시 친구가 될 수 있을 것인가 그리고 사라진 구미오는 과연 어디로 갔을까?
31,벤허,창작,LG아트센터 서울 LG SIGNATURE 홀,2023.09.02 ~ 2023.11.19,"박은태, 신성록, 규현, 이지훈, 박민성, 서경수, 윤공주, 이정화, 최지혜, 이정열, 홍경수, 한지연, 류수화, 장혜린, 문은수, 김대종, 이희정, 문성혁, 공동환, 조용휘","왕용범, 이성준","서기 26년, 제정 로마의 박해에 신음하는 예루살렘. 명망 높은 유대의 귀족 벤허는 로마의 장교가 되어 돌아온 친구 메셀라와 오랜만에 재회한다. 숱한 전쟁을 겪으며 살아남은 메셀라는 벤허에게 유대의 폭도 소탕을 도와달라 부탁하지만, 벤허는 이를 거절한다. 다음 날, 벤허의 여동생 티르자는 집 옥상에서 그라투스 총독의 행군을 구경하다 기왓장을 떨어뜨리는 사고를 낸다. 메셀라는 이를 문제삼아 벤허 가문 전체에 반역죄를 씌운다. 억울한 누명을 쓴 벤허는 로마 군함의 노를 젓는 노예가 된다. 3년 후, 벤허가 탄 군함이 해적과의 전투 중 난파되고, 사령관 퀸터스의 목숨을 구한 벤허는 자유의 신분을 얻어 로마의 귀족이 된다. 생사의 위기를 극복한 벤허는 자신의 모든 것을 앗아간 메셀라에게 복수할 것을 결심한다. 한편, 예루살렘은 나사렛에서부터 유대의 새로운 왕이 온다는 소문으로 술렁이고, 마침내 고향으로 돌아온 벤허는 메셀라에 맞서 전차경주장의 출발선 앞에 나란히 서게 되는데..."
32,블랙메리포핀스,창작,서경대학교 공연예술센터 SKON1관,2023.09.21 ~ 2023.12.03,"김도빈, 김대현, 양승리, 윤승우, 황휘, 최재웅, 노윤, 김 수, 김서연, 이정화, 김서환, 김기택, 이준우, 홍성원, 임강희, 홍륜희, 전경수, 임찬민, 강연정, 송상은","서윤미, 김은영","대형화재 사건에서 살아남은 아이 넷, 그리고 이들을 구출한 보모 메리 슈미트 이들이 감추고 있는 비밀은 무엇일까? 1926년 독일의 저명한 심리학자인 그라첸 슈워츠 박사의 대저택 화재 사건! 대형 화재로 인해 대저택은 물론 시체마저 모두 훼손된 이 화재 사건은 세간에 널리 알려지면서 사람들에게 강한 인상을 심어주었다. 그 이유는 박사의 연구조교이자 입양된 아이들의 보모였던 메리 슈미트가 전신화상을 입어가며 입양된 아이들을 극적으로 구출하였기 때문이다. 다음날, 메리는 실종되고 아이들은 그날 밤 있었던 일을 아무것도 기억하지 못했기 때문에 사건은 이유를 알 수 없는 단순 화재 사건으로 일단락되는 듯했다. 그로부터 12년이 지나고... 4명의 아이들은 각기 다른 집에 입양된 채 새로운 삶을 살아가고 있다. 그러던 어느 날, 4명의 아이들에게 그라첸 박사의 비밀수첩 하나가 전달되는데...... ""네가 꺼낸 아이들의 기억, 네가 지워주렴. 아무도 이 사실을 몰라야 한단다..."""
33,비더슈탄트,창작,대학로 드림아트센터 1관,2023.09.12 ~ 2023.11.26,"송유택, 안지환, 황순종, 정백선, 김바다, 김지온, 동현, 이진우, 김이담, 손지환, 김도현, 김방언, 이태이, 김민강, 박선영, 곽다인, 정선기, 한정훈, 이한솔, 류동휘","라현아, 신은경","1938년 독일, 야심찬 17세 매그너스는 최고의 펜싱 선수가 되기 위해 가장 친한 친구 아벨과 함께 독일의 엘리트 스포츠 학교에 입학하지만, 학교에 대한 뜻밖의 진실을 알게된다. 매그너스와 아벨은 펜싱부 친구들과 함께 학교의 비밀을 파헤치고 알리기 시작하면서 그들만의 저항 활동을 시작한다. 한편, 매그너스는 학교의 최고 책임자인 클레어 단장의 관심과 인정을 받으면서 흔들리기 시작하는데…."
